,이름,평점(별),작성시간,내용
10,목살,1개,2023년 6월 23일,업데이트 후에 후기 작성이 더 불편해짐 원래 후기 작성에 들어가면 카메라를 실행할지 갤러리를 실행할지 선택할 수 있었는데 갤러리만 선택할 수 있게 되었고 또 선택한 사진을 얼굴이 안 보이게 잘라서 올려야 하는데 앱에서 편집 기능이 없어져서 내가 편집을 해놓은 사진을 올려야 됨 가만히 있는 좋은 기능을 왜 없앤건지 이해불가
11,단하,4개,2021년 2월 27일,• 호감순(하트) 나열도 있으면 좋겠습니다. • 이젠 판매량0짜리 광고상품이 랭킹1위를 하는 정도에 이르렀습니다. 평소에도 랭킹순과 무신사 추천순은 걸렀는데 최근에 스포츠 랭킹 한번 들어갔다가 아쉬움만 느꼈습니다. 항상 애용하고 있습니다. 반영이 안될 수 있겠지만 참고해주시면 감사하겠습니다.
12,제이슨,4개,2020년 10월 6일,우리신사 여러 제품들을 한번에 모아서 옷도 보고 비교해가며 구매할 수 있어서 좋아요! 다만 첫 화면에 바로 구매하는 창이 보이지가 않아서 제가 잘 못찾는 건진 잘 모르겠지만 불편한 사항을 찾으라고하면 이정도인것 같네요. 엄청 불편한건 아니지만 조금 신경은 쓰이는 정도라 개선될수 있으면 좋을것 같습니다~
13,김현도,5개,2022년 7월 14일,[ a5555 ] 편의성 있고 아주 유용하게 사용하고 있습니다. 화면도 깔끔하고 단순해서 거래하기 쉬워서 좋아요. 좋은 옷을 싸게 살 수 있어 좋고 여러가지 패션 의류나 스킨 로션 등 다양하고 질 좋은 제품이 있어 자주 이용하고 있어요! 아이템 구성이 한 눈에 들어와 쇼핑하기에 매우 편리하고 좋습니다. 앞으로 계속해서 이용 할께요~^^ 감사 드립니다
14,wendy -,4개,2023년 4월 15일,스타일 탭에 드디어 하트 기능이 생긴건 너무 좋은데 사진들 후루룩 내려보다가 사진 클릭하고 나오면 보던 위치보다 더 위에가있어서 다시 계속 내려야되는 불편함이 있어요. 그래서 인스타처럼 사진 꾹누르면 사진 크게 보이고 하트 누를 수 있는 기능있으면 훨씬 편리할 것 같아요!!
15,이다희,5개,2022년 12월 30일,"[ zom55 ] 너무나 좋으며 완벽한 패션 스토어 어플이라고 생각합니다. 최근까지도 너무너무 잘 활용하고 있습니다. 다만, 최근들어 어플 내에서 로딩시간이 너무 길어졌습니다. 패션 트레드 성향 및 스타일 제안도 해주어서 내게 맞는 옷선택에 도움을 많이 줘요. 특히, 적립금 및 쿠폰 사용으로 할인도 많이 되고 단 얼마라도 저렴하게 구입할 수 있어요 더 좋은 제품 많이 선보여 주세용. 다른 마켓쇼핑몰에비해 top 이네요^^"
16,오현서,4개,2022년 4월 23일,실측 기능이 좋았어요! 정말 자주 사용하는 앱 입니다🤗앱을 몇 개월간 사용한 유저로서 추가되었으면 하는 기능이 있었어요. 1.후기를 옵션별로 볼 수 있게 -한 상품에도 여러 옵션이 있는데 구매하고 싶은 옵션의 후기만 볼 수 있는 기능이 있었으면 좋겠습니다. 2.후기의 필터를 두가지 이상 선택할 수 있게 -키별 필터와 몸무게별 필터는 선택이 한 개밖에 선택할 수 없는 부분이 아쉬웠습니다.
17,Google 사용자,4개,2020년 1월 20일,"브랜드 폭이 매우 넓고 다양하며 그것의 참여가 용이하고 간단한 이벤트들,데일리 룩 추천,아이템 조합 추천 등 좋은 기능이 있지만 개인적으로는 도매스틱 브랜드를 제외한 브랜드들의 부재 등이 아쉽다. 하지만 패고들의 진입 장벽을 낮춘 점은 높이 평가. (+왜 이름이 '무신사'일까.?)"
18,Google 사용자,2개,2020년 2월 4일,예전에 업데이트를 한 뒤로 뒤로가기가 안되는 오류가 생겼습니다 지금 가장최근버전인데 아직도 해결안됐네요 다른 앱에선 이런현상이 없어 폰문제는 아닌듯합니다 항상 안되는건 아니고 처음에는 되다가 몇군데 왔다갔다 하다보면 갤럭시 화면 하단의 뒤로가기를 눌러도 터치인식은 되는데 뒤로 안 가집니다 화면위에 < 모양의 뒤로가기 버튼을 눌러도 마찬가지구요. 정말 답답한데 해결방법 없나요
19,정은현,1개,2023년 6월 29일,앱 업뎃전에 되던 기능들이 안됩니다. 후기 작성시 카메라가 안되고 바로 갤러리만 열리고 회전 자르기등 편집 기능이 사라졌습니다. 1:1 문의했더니 제폰 문제라해서 어플 삭제후 다시 깔아도 마찬가지입니다. 정말 구글에 이런글 안썼는데 너무 불편해서 씁니다. 제 안드로이드 버전확인 및 리부팅하고 삭제 재설치 3번 반복했는데 마찬가지 입니다.
20,Chae W,2개,2022년 9월 27일,오랜만에 들어왔는데 이게 웹사이트도 아니고 대체 왜 로그아웃 버튼이 마이 하단에 조그맣게 박혀있는지...? 정말 혁신적인 기능으로 바뀐게 아닌 이상 사용자들에게 익숙한 UI를 제공하는게 좋을텐데 웹도 아니고 앱 푸터 부분에 보이지도 않게끔 로그아웃 버튼 있는걸 설정에 왜 없나 한참 찾았네요; 무신사는 항상 업데이트를 하지만 왜 매번 몇가지씩 업데이트 할 핀트를 어긋나게 잡나요 로그아웃 버튼을 저렇게 두니 뭐 로그아웃 빈도가 좀 줄었나요? 예전엔 설정에 로그아웃 버튼이 잘 있었는데 왜 설정에서 로그아웃 버튼을 없앴나 싶어 한참 찾았네요 저렇게 조그맣게 보일듯 말듯 사용자랑 장난치지 마시고 FAQ에라도 로그아웃 위치 명시 좀 해주시죠;
21,박지윤,4개,2021년 9월 5일,저는 잘 맞았게 썼고 브랜드를 검색하면 대부분 많이 있어서 좋았어요. 그리고 주문을 하면 어떻게 반품할 수 있고 교환할 수 있는지 다 써져있었어서 반품이나 교환 할때도 그렇게 힘들지 않을거같아요. 근데 처음에 앱을 깔면 검색버튼이 밑에있었고 위에는 추천이나 랭킹같은게 있어서 적응하는데 조금 걸릴거같아요
22,Google 사용자,1개,2019년 4월 24일,업데이트 이후에 좋아요 모아놓은 창에서 상품들 보다가 뒤로가기 누르면 내가 보던 곳이 아니라 거의 맨 위로 화면이 올라가져 있어서 하나 볼때마다 일일히 또 아래로 내려야함. 아니 업데이트 이후에 퇴보하는게 말이되나.... 이럴거면 좋아요 기능도 없애시는게 나을듯
23,맨이다얘,5개,2020년 11월 1일,다 좋긴 한데...내폴더 기능은 버리는건가요...이렇게 애메하게 만들바엔 아예 컴퓨터 폴더처럼 만들어서 폴더를 만들고 안에 폴더를 또 만들 수 있는 느낌으로 가는게 나을거 같아요.지금은 버그때문인지 뭔지 쓰지도 못하네요.결벽증 있는 사람으로써 진짜 불편합니다.내폴더 기능 업그레이드 좀 해주세요
24,Google 사용자,1개,2020년 2월 16일,앱 자체에서도 랙 엄청걸리네요..;;; 폰기종s10e라 나름 최신기종이고 앱사용시 램사용량도 적고 최적화시킨 상태였는데..;;;; 무신사 웹사이트로 볼까하다가 앱깔아봤는데 완전최악... 키보드 뚜들기는데 그것도 렉걸리고 다른앱들은 랙 안걸리는디 무신서앱만 이래요..ㅋㅋㅋ 다신 안씀~
25,MyeongHwan Cho,4개,2023년 7월 22일,애플리케이션이 빠르게 발전하고 있는 게 느껴져서 특히 결제 부분에서 편해졌다는 것을 체감하는 부분이 큽니다. 그런데 가끔 카카오톡이나 네이버 베너에서 마음에 드는 코디가 있어 확인하면 이벤트 메인화면으로 링크가 걸리는 게 있는데 해당 코디 링크를 걸어주시면 좋을 것 같아요. 이벤트 메인 화면에서 해당 아이템을 찾기가 너무 힘듭니다... 가끔 마음에 드는 옷들을 놓치는 게 너무 아쉬워요.
26,박현성,5개,2021년 1월 24일,"좋은 상품들을 좋은 가격에 구매할 수 있어 좋은 것 같습니다. 자주 애용하고 있어요 ※ 스타일 후기나 상품 사진 후기도 필터링(성별, 키, 몸무게)을 거쳐서 보고 싶은 후기만 볼 수 있도록 하면 더 좋을 것 같습니다. 사이즈 추천으로 검색하면 큼, 적당함, 작음. 이렇게만 표현되어 있어서 아쉬움이 남았습니다."
27,beeen,3개,2022년 11월 14일,"앱도 좋고 다 좋은데요 블프때 특가로 올라온 상품을 무통장입금으로 하고 결제 전에 후기보려고 다른 사이트로 들어가보니까 정가보다 비싸게 표기해놓고 할인율 높은것처럼 되어있더라구요 그래서 주문 취소했습니다. 취소사유에 선택할만한게 없어서 단순변심이라고 했는데 억울하네요,,,,ㅜ 어떻게 정가 19900원짜리를 36900원이라고 할수가 있나요 ㅠㅠ 확인좀 해주셨으면 합니다,,"
