,이름,평점(별),작성시간,내용
80,hyun L,1개,2024년 2월 22일,"이벤트 참여 해도 쿠폰 안 줘요. 참고들 하세요. 문의해도 시간만 질질 끌면서 핑계만 되고, 자료 다 보내줘도 또 재문의 재재문의 달라 하고 이벤트로 홍보 해놓고 막상 주기는 싫은가 봅니다."
81,turquoise blue KMJ,3개,2024년 2월 10일,"상품 보다가, 이전으로 가면 상단으로 올라가서 다시 보던상품 찾아야되서 쭉 내려와야하는 불편함"
82,Bright Morning,3개,2024년 2월 27일,평소에 잘 쓰고 있었는데 핸드폰을 새로 하고 깔아서 로그인 한 뒤 매물을 들어갔는데 자꾸 상품설명이랑 사진이 안뜨고 구매 후기 화면이 나오네요 지금 꼭 사야할 일이 있는데 못 사고 있습니다 빠른 답변 부탁드려요
83,Be hill,5개,2024년 2월 7일,핏이면 핏 품질이면 품질 다 마음에 드는데 잘나가는건 재고가 좀 부족해요~
84,렉소REXXO,5개,2024년 4월 3일,"높은 퀄리티에 낮은 가격, 이정도만해도 아주 만족이라 생각합니다!!"
85,Koko OH,5개,2023년 10월 24일,아직 물품을 받아보진 못했지만 어플의 편의성.이벤트.쿠폰 제품가격 뉴비가 받을수 혜택모음등등 어플자체 기능은 정말 좋습니다! 배송이 얼마나 걸리는지 제품은 사진과 얼마나 똑같은지 가격대비 퀄리티가 잘나왔는지만 확인이 되면 다시 글쓰러오겟습니다 현재까진 5점입니다~~
86,Eugene B,5개,2024년 4월 2일,여기만한게 없네여 ㅎㅎㅎ 주문도간편하고 배송도 빠르고 좋슴당^^
87,김민서,4개,2024년 3월 22일,업데이트 이후에 앱 새로 접속할 때마다 로그인이 풀려요 다시 원래대로 돌아오면 좋겠어용
88,방승준,1개,2024년 3월 25일,무신사 들어가서 검색어 들어가면 흰색배경만 나오고 아무것도 안나옵니다 네이버 구글 다 쳐봤는데도 이런 오류는..
89,라쿤,5개,2024년 2월 1일,음 일단 옷 스타일이 너무 재 스타일인게 너무 많고 사람들에 착용사진이있어서 뭔가 더 사고싶어지네요 근데 돈지만요^^ 그래도 옷판매 앱중에서 gote네요
90,Schan 02,5개,2023년 11월 22일,사고 싶은 품목의 옷. 예를 들면 휜색 셔츠를 검색해도 가격별로 많이 떠서 정보를 빨리 볼 수 있고 간편하게 구매할 수 있어서 좋습니다. 앞으로도 계속 쓸 거 같아요
91,권경옥,5개,2023년 12월 14일,상품이 다양하고 여러 연령층이 입고 사용 할수있어서 참 좋아요. 의류같은경우엔 세탁을 한후에도 늘어나는것도 거의 없어서 만족합니다.
92,Juyeong,3개,2024년 2월 22일,어제 서비스 점검 시간 이후로 계속해서 장바구니 오류로 한참을 주문을 못 하고 재설치만 했네요 휴 장바구니를 누르면 회원조회에 실패했다는 말이 떴습니다 안드로이드14 입니다
93,박세미,2개,2024년 3월 8일,분명 좋아요 누른 제품이 좋아요함에 들어가면 안 보입니다. 품절된 제품도 아닌데 왤까요...
94,ARIEL SHIM,5개,2024년 1월 28일,코디샷을 통째로 하트등을 눌러 저장해두고 볼 수 있었으면 좋겠어요! 너무멋져요
95,A narchy,1개,2024년 3월 27일,신상품 몰아서 보는거 없어지고 검색으로 신상품 검색해서 보는방법 뿐이였는데 그마져도 없어졌네..
96,박장혁,5개,2024년 1월 30일,많은분들이 많이 구매하는것을 보구 구매해보니 마음에 드는것이 많구 쿠폰할인도 많아서 너무 좋은것 같아요^^
97,sirano bernstein,1개,2024년 3월 21일,로그인을 들어갈때마다 해야하네 갑자기 앱이 엉망진창이 됐네
98,캡틴츠보미,3개,2024년 1월 10일,"최근들어 갑자기 엄청 버벅거리고 감당 안되게 느려졌네요. 2년넘게 잘 썼고, 폰 문제는 아닙니다. 다른 앱에서 전혀 없는 현상이고요"
99,김계영,5개,2024년 1월 28일,다양한쿠폰제공과 다양한브랜드제품 한눈에 비교쇼핑할수있어조아요 무엇보다 실사용후기 도움많이돼요
100,최홍석,1개,2024년 4월 4일,아니 계속 다른 페이지로 이동할때마다 서버연결이안된 다고 합니다 고쳐주세요
101,지건,2개,2024년 4월 4일,체험단 신청 목록볼때 상품 들어갔다 나오면 맨 처음으로 돌아가는거말고 보던부분 이어보게좀 해주십쇼 진짜 전에 이쁜것들 보고 구매하려는데 불편해서 걍 안보게됨 신청 떨어진거들중 괜찮은게 있어서 보고 나오면 맨 처음부터 시작 장난치는것도아니고 걍 그리고 체험단 검색도 만들어주십쇼 이뻤던것들 당첨 안되면 구매하려는데 검색도없고 노가다로 찾기 너무 힘듬 버그는 꼭 고쳐주시고
102,성이름,4개,2024년 3월 3일,로그인 인증을 하려고 했으나 휴먼상태 임으로 아이디를 찾으려고 했으나 3가지 인증이 다 안돼네요.
103,정성욱,5개,2024년 1월 23일,"제품 찾기 슆고, 배달도 빠르고... 가격도 합리적."
104,벨킴 BEELKIM,5개,2024년 3월 12일,배송도 빠르고 할인도 많이 해서 정가보다 싸게 살 수 있어요
105,이종훈,5개,2024년 2월 29일,얘기 듣고 첫거래 준비중인데~행사가 많아 고민중 ㅋ 그래도 첫거래인 만큼 신중히 검색중요
106,황준성,2개,2023년 12월 2일,잘만들었지만 업뎃만하면 쓰레기 앱 옷사고 그런 시스템은 잘되어있으나 무진장 블프하면 개 버러지처럼 터치 안먹히고 옷살때 계산기 두드린다고 여러번 왔다갔다할때 앱이 자꾸 창에 사라짐 이 앱만그럼 진짜 억까 제대로함 업뎃할거면 제대로 좀 해라
107,박가현,1개,2024년 2월 5일,솔직히 다른 앱보다 사용하기 어려운거 같아요ㅜㅜ 넘 복잡해서 잘 사용해지는 않을거 같네요...
108,정은희,5개,2024년 2월 27일,"좋아요, 다양한 쇼핑정보 한눈에 볼 수 있고 할인 이벤트도 많고 트렌디합니다"
109,강수민,3개,2023년 12월 26일,"좋아요란에 세부 카테고리로만 분류되는 것으로 업뎃됐던데 이전이 더 편해요ㅠ 차라리 좋아요란에 들어갔을 때 처음 보이는 화면에는 대분류로 구분하고, 각 대분류를 누르면 하위 소분류가 뜨는 식으로 분류되면 좋겠습니다"
110,눈누난나,3개,2023년 11월 24일,"왜 할인율 높은순, 가격 높은 순, 가격 낮은 순으로 보기 등을 없앴는지 이해가 안됩니다 이거 제발 고쳐주시길... 한번씩 할인율이나 가격 괜찮은 순으로 세워놓고 필요한거 샀는데..."
111,권현석,5개,2024년 3월 26일,사이즈도 좋구 천도 아주적당하네요 지금 입기 딱좋아요^^
112,윤경숙,5개,2024년 4월 2일,아들 옷사는데 요즘 최고네요. ㅎ 아들이 좋아합니다.. 여러개의 아이템이 좋아요.
113,Eoqkr Kio,5개,2024년 3월 31일,스탠다드 제품 디자인 퀄리티 가성비 좋은 것 같아요
114,Google 사용자,5개,2024년 4월 2일,인터페이스도 좋고 사용하기 편합니다.
115,임경순,5개,2024년 3월 21일,저렴하고 재질도 좋고 배송도 빠르고 좋아요.
116,김군,2개,2024년 3월 21일,"옷 낮은평점순,최신순 이거 보려고 했는데 눌러도 안되요"
117,장지현,5개,2024년 3월 19일,무신사 브랜드 카테고리별로 잘 정리되어있어 편안함
118,앙마,3개,2024년 3월 27일,업데이트되더니 출석체크 오류났어요... 해결점
119,안미화,5개,2024년 3월 26일,짱. 좋음. 저렴한 가격에 좋은 물건 구매
120,미안해행주야,1개,2024년 3월 22일,자동로그인 사라지고 계속 로그아웃 됨
121,깜냥이,5개,2024년 3월 13일,첫거래 아주 마음에 들어요 배송만 빨리오기 바랍니다.
122,Ordinary 92's,1개,2024년 4월 1일,신규 유입자에 대한 이벤트만 항상 생기고 금액을 많이 사용한 사람들에 대한 이벤트는 항상 없음. 건의를 하였으나 소식이 없음. 신규 인원 만들려고하지말고 많이 사용한 사람에 대한 혜택이 많이늘기를
123,byoungkun song,5개,2024년 4월 5일,사용해봐야 좋은줄 알져. 글로만 봐서는 체감할수 없음
124,김드래곤,3개,2024년 3월 26일,앱은 잘 사용하고 있는데 계속 로그아웃됩니다
125,김경환,5개,2024년 3월 17일,너무너무 제품이좋구 가격두 착합니다^^
126,지동이,5개,2024년 3월 23일,다양한 제품이 많고 배송도 빨라서 좋아요
127,용을품은쌍백호수아,5개,2024년 3월 22일,쇼핑이 편해요 배송도 빠르고요
128,유선영,5개,2024년 3월 14일,다양한브렌드를 한번에볼수있어 좋다.
129,박찬익,3개,2020년 9월 7일,"확실히 다른 셀렉트숍보다 상품을 검색할 때 분류방식이 다양하고 효율적이라 보기 편해서 좋아요. 특히 색깔이라든가 나열방식, 브랜드 등등.. 그런데 아직도 소프트웨어적인 입력이 잘 구동되지 않는 것 같아요. 어떤 상품을 보고 뒤로가기가 안되거나 어플상단에 위치한 뒤로가기가 터치가 안되는 경우가 많습니다. 그럴 때마다 어플을 강제종료하고 다시 실행해야하는 번거로움이 있어요. 이건 어플 초기부터 아직까지 해결되지 않는 것 같네요."
130,정정,5개,2024년 4월 2일,세일쿠폰 좋고 스타일 좋은 옷이 많아서 좋아요
131,주상현,5개,2024년 3월 20일,배송 빠르고 서비스가 좋네요
132,이승주,5개,2024년 2월 25일,워낙 자주 사용하고 마음에 드는 앱입니다 그나마 조금 아쉬운 점은 후기 적립금이 늦게 들어오는거 그 정도입니당
133,99 9,1개,2023년 11월 20일,"같은 상품 오배송 3번째 하는 중. 고객센처 대처도 엉망진창이고, 뭐 피해에 대한 보상은 1도 없고, 상품은 계속 잘못 보내고 있음. 재고가 없으면 없다고 하고 후속 조취를 하든가. 장난치나??"
134,전진,5개,2024년 3월 23일,왜 자꾸 로그인이 풀리나요.. 몇시간 지나면 로그아웃 되어있어요 고쳐주세요
135,김가영,1개,2024년 3월 23일,신규가입쿠폰준다더니 네이버검색하면 더 쌈.
136,ᆞᆞ,2개,2024년 1월 17일,호환성 최악. 환불할때 이미지 업로드도 실패할때가 잦음
137,Jein Zzz,4개,2023년 10월 27일,"브랜드 신상 쇼케이스, 룩북, 매거진 접근 쉽게 해줬으면 함. 앱 키면 보이는게 랭킹이랑 추천된 옷들인데 관심 없음"
138,asdf asdf,1개,2023년 11월 29일,결제까지 다 했는데 24시간도 더 지나서 갑자기 품절이라고 주문취소됨 시스템상 품절이면 결제 안되게 막던가 결제후에 바로 취소되어야되는거 아닌가요 하필이면 주말 껴버려서 옷도 못입고 돈만 날리고 적립금이라고 꼴랑 4000원 준거는 적립금 5천원이상부터 쓸수있어서 쓰지도 못하고 30일이내 제한있네요 사람놀리는것도 아니고 이게 보상맞나요
139,김영진,5개,2023년 11월 4일,후기에 넣을 사진이 15MB를 넘을 때가 많은데 앱 편집기능을 넣어서 자르기 등을 해서 자체적으로 조정할 수 있게 해줬으면 좋겠어요
140,가죽소리,5개,2024년 2월 10일,사용하기 너무 편하고 최신 트렌드 패션을 볼 수 있어요 ·
141,유승희,1개,2024년 1월 30일,좋아요 카테고리 이전으로 되돌려주세요 너무 세세하게 나눠놔서 찾기가 힘드네
142,나비탁,5개,2024년 1월 30일,할인 많이하고 배송빠르고 백화점 갈필요없이 여기서 다살수 있어서 좋아요^^
143,김형욱,5개,2024년 3월 18일,쉽고 간편한 쇼핑몰
144,김선경.,5개,2024년 3월 24일,아이들이 잘 이용하고 있어요~젊은층들이 이용하기 좋은것같아요
145,뚜,4개,2024년 3월 10일,코디 정보 및 쿠폰 많이 받아서 싼가격에 살수있어서 좋은듯 한데 부족한 옷 재고는 아예 안들어오는거 같아요
146,신동성,4개,2024년 3월 12일,잘 정리되어 일목요연하게 볼수있어 좋은것 같음
147,우야,1개,2024년 2월 14일,주문하고기다리니 품절이라하고 그페이지 들어가니 그대로팔고있고 품절이라고 일방적통보했음 환불이라도빨라야지 이기 뭐냐
148,JAE KIM,1개,2024년 1월 30일,업데이트 안해도 사용할수있게 해주세요 간만에 옷 좀 사려다가 업데이트 안하면 못쓴대서 김 빠짐..
149,Peter M,5개,2024년 3월 25일,옷 다양하고 가격 괜찮고 좋음
150,류이화,5개,2023년 11월 16일,배송도 빠르고 배송지연 위로금도 챙겨주셔서 감사해요. 청소년 아이들 의류 구매할곳이 은근 마땅치 않은데 무신사에서 편하게 쇼핑하니 무척 좋아요♡
151,5년차구남여,5개,2023년 11월 16일,"강추 패션앱인 이유 1,모델도 잘 뽑고 무엇보다 옷에 과장이 별로 없음! 2,다른 패션앱들은 옷 설명이나 카테고리가 밋밋한데 무신사는 깔끔하고 한눈에 들어옴 3,비싸는 싸든 옷에 퀄리티가 거의 다 좋음 4,옷만 있는게 아닌. 모자 장갑 메이크업 장식템 같은 것도 많음 5,각종 혜택이 많음. 이벤트 , 쿠폰 등 《단점》 1,배송이 느림 어떤건 1주일 3주일씩 걸릴 수도 있음 2,쿠폰은 많은데 정작 자기 맘에는 드는 옷이 없거나 사용 가능한 폭이 좁음 나는 딱히 불편했던게 없어서 좋았음 굿굿"
152,주영채영MAM,5개,2024년 2월 19일,좋은 제품들이 많아요 계속 관심이 가요 후기도 올리고 싶어 바로 바로 올렸어요
153,이승인,5개,2024년 1월 28일,다양하고 질좋은 상품을 저렴하게 판매해서 자주 이용하고 있습니다.
154,J K,5개,2024년 2월 15일,옷도많고 어플 사용도 편리함 의류쇼핑앱중에 최고인듯
155,이주희,5개,2024년 1월 22일,와 엄청좋아요 추천으로가입했는대 할인폭이엄청커요
156,꾸리킴,5개,2024년 2월 7일,가성비 너무좋은 제품이 많네요 항상 사업 번창하세요~^^
157,김판수,2개,2024년 2월 4일,앱이 정신사나움 포인트 전환도 제대로안되고
158,홍선희,5개,2024년 3월 1일,스타일시한 옷을 저렴한 가격에 구입할수 좋은곳입니딘
159,홍준택,4개,2024년 1월 31일,주문내역 확인하기가 불편해졌습니다 3중 4중으로 버튼을 눌러야 확인가능
160,SANGHYUN PARK,4개,2024년 2월 14일,좋아요~쿠폰행사및 빠른배송서비스요청
161,이란,5개,2024년 2월 18일,저렴하고 상품 좋아요~할인도 자주 하는 듯
162,땅부자나눔부자최은희,5개,2024년 1월 28일,품질좋고 가격싸고 다양한 상품들 짱이네요
163,Wynn Seung-Jin Lee,5개,2024년 2월 15일,잘 되어 있습니다. 궁금하다 싶은 기능이 다 있네요.
164,jungmi park,5개,2024년 2월 20일,배송도 빠르고 제품도 확실하네요
165,황선필,5개,2024년 2월 8일,다양성이 좋아요 가격도 합리적이고요
166,허미성,5개,2024년 2월 1일,실용적이고 편하게 한눈에 볼수 있도록 배치
167,김진원,5개,2024년 2월 26일,옷을 저렴하게 살수있어좋아요 어플도편합니다
168,장연주,5개,2024년 2월 25일,매장첫구매하고 온라인도 이용중 다양해서좋아요
169,강선,5개,2024년 1월 29일,"배송빠르고,무료배송이라 너무 맘에듭니다"
170,정재우,5개,2024년 2월 27일,무신사 좋은 물건 좋은 가격 무료배송!
171,이지영,5개,2024년 1월 10일,좋은 품질의 상품이네요 굿 초이스!!
172,조현준,5개,2023년 12월 1일,"다양한 옷들과 또 유행하는 아이템들을 판매해 소비자한테는 이 만한 온라인쇼핑앱이 없다고 생각합니다. 옷,패션 좋아하는사람은 강추!!!"
173,최다인,5개,2023년 11월 27일,종류도 많고 여러 브랜드들이 있어서 찾아보기도 좋아요! 여러 사람들이 쓰는 만큼 데이터들이 많아서 더 자주 들어가게 되는 느낌이네요
174,Yerahm Suh,4개,2024년 1월 4일,좋아요 목록이 큰 카테고리로 묶여서 세부적으로 나뉘었으면 좋겠어요. 너무 목록이 줄줄이 많기만 하니까 찾기 힘들어요
175,정선빈,2개,2024년 1월 1일,옷도 많고 기능도 편리해서 좋은데 화면전환 할 때 시간이 너무 많이걸려서 불편해요
176,soojin,4개,2023년 12월 5일,"의류와 신발 등 남성, 여성용 필터링 할수있게 카테고리가 나뉘어져 있음 좋겠어요. 관심없는 상품까지 봐야하네요."
177,이주하,1개,2023년 12월 1일,출고 지연이 너무 많습니다. 미리 언제 도착 예정이 써있는게 아니라 한참 뒤에 출고 지연 메세지 띡 오면서 기다릴래 말래 묻는 것도 참 어이없음.
178,뿌꾸언니,4개,2023년 10월 19일,늙은이(50대)가 이용하기에 복잡함. 너무 많은 제품과 정보가 화면 가득해 기가 빨림.
179,김명용,3개,2023년 10월 29일,그냥 무난함 살만한거는 꽤 보이는데... 이벤트 낚시가 좀 많네요. 뭐 다 먹고 살자는 상술이지만 너무 레트로식 이벤트 낚시 느낌
180,성치헌(xxwsch_),3개,2023년 10월 28일,"최근 업데이트로 구매내역이나 구매하고 싶은 옷이나 신발을 잘 볼수 없게 해놨고, 업데이트 할수록 불편해져 가는것 같아요"
181,키득키득,1개,2023년 11월 25일,무신사 들어가면 홈만 정상적으로 뜨고 다른 창 누르면 흰화면으로 뜨는데 왜 그런 건가요? 삭제하고 재설치해도 똑같아요ㅠㅠ
182,최순아,5개,2023년 10월 26일,배송이 빨라서 좋네요 쿠폰을 자주 주시면 감사 하겠습니다 제품들이 높은 가격이라서 쿠폰이 있으면 쇼핑을 즐겁게 할수있을것 같네요 ~^^
183,김나현,2개,2023년 12월 11일,앱이 너무 느리고 자주 멈춰요.. 오류도 너무 많고요 문의를 해도 대응을 잘 못하시네요..
184,장Jangsu,5개,2023년 12월 24일,네이버로나오는 이상한것들 다 걸러주고 원하는 제품 저렴하게나오고 스타일링 사진도볼수있고 정말좋은거같아요
185,하영,5개,2023년 11월 10일,"175 여자입니다. 에이블리 같은 데에서는 제가 입을만한 바지 사이즈를 찾기가 너무 힘든데, 무신사에는 저에게 맞는 바지가 많아서 좋습니다."
186,전황욱,5개,2023년 10월 25일,저같이 옷에 대해 잘모르는 사람도 잘 살수있게 여러가지 기능이 어플에 녹아있는게 좋아요
187,Gwang,3개,2023년 12월 7일,다 좋은데 리프레쉬가 너무 심해요. 다른 어플 잠깐 갔다와도 메인화면으로 돌아강ㅆ
188,Yousook Jin,5개,2023년 11월 9일,딸이 티셔츠와 바지를 사줬는데 듸자인도 심플하면서 고급지고 입고나서의 편안함도 아주 만족했어요.
189,황유진,4개,2024년 1월 23일,배송빠르고 제품이 좋습니다^^
190,장희윤,1개,2024년 1월 16일,음... 제가 운이 없는건지 11월 23일에 신규가입 할인으로 제품을 샀는데 12월 18일까지 안오길래 문의 넣었는데 분명 12월 25일까지 보낸다고 하고 네.... 못 받았어요 1대1 문의 넣으니까 직원분이 브랜드 측에 물어본다는데 28일 저녁 아무런 말도 없이 환불이 됐어요 사과나 아무런 말도 없이 어이 없어서 1대1문의를 또 드렸는데 1월 4일까지 환불된 제품 돈 들어올거란 그 날까지 아무런 답변을 못받았어요 그래도 진짜 환불은 됐으니까 란 생각으로 그 문의글은 지웠는데 이 맘때쯤 입으려고 산건데 다 지나고 기다린 시간도 좀 아깝고 제가 운이 없는것일수도 있는데 혹시 모르니까 다른분들 도 조심하세요 그 상품 문의글에 물어봤는데 3일이 지나도 안봤어요 거주지 바껴서 배송지 바꾸는법도 물어 봤는데 그거에 답 안해주시고 25일까지 보낸다고 복붙을 하셨더라구요 ㅎ.... 이런 가게도 있어요 무신사 좋다고 해서 기대하면서 깔고 처음 산 옷이였는데
191,이하나,4개,2024년 3월 4일,사이즈만 검색해서 볼수있게 해줬음좋겠네여 빅사이즈 필요합니다
192,류신,5개,2024년 4월 3일,패션에 좀더 편하게 접근 가능함
193,센치한팬더,1개,2023년 10월 25일,쿠폰만 많이 뿌리고 상품이 다양한것도 그렇고 교환 시간 겁나 걸리고 남친땜에 가입했는데 여러모로 불편함..
194,SG S,1개,2024년 3월 22일,업뎃이후로 앱을 킬때마다 ㅋㅋㅇ로그인을 해야 하네요
195,김기득,1개,2023년 11월 22일,할인한대서 봤더니 원래 가격 뻥튀기시켜놓은다음 할인이라고 사기침. 결국 평상시가 더 싸고 할인기간이 더 비쌈.
196,lim lee,5개,2024년 2월 6일,브랜드가 많아서 좋고 합리적가격이라 좋아요
197,캄트,5개,2023년 11월 6일,스타일다양하게 볼수있어서 좋다. 구매로 빠르게 이어져서 편함
198,문성민,5개,2024년 3월 13일,제품이 좋고 다양하게 많이 있어요
199,안성대,5개,2024년 3월 13일,다양한 상품과 프로모션 정보가 많습니다.
200,신발날뛰는,4개,2023년 10월 25일,앱을 참 잘만들었었는데 팝업의 종류가 너무 많아지고 있어서 싸구려가 되어가고 있다.
201,PGF,5개,2024년 1월 19일,무료 배달이라 좋고 옷 못입어도 순위에 있는 옷만 사서 입어도 뽀대가 나요 굿
202,버터빵,1개,2020년 6월 16일,여자라고 다 우신사로 연결할게 아니라 우신사를 홈화면으로 할건지 의사를 물어 설정하게 해야하는거 아닌가요? 무신사릏 주로 이용하는데 왜 굳이 뎁스를 두번 이동 하게 하는지 모르겠네요. 우신사로 설정한적도 없는 사용자가 직접 사용을 끄는 스텝도 이상하구요. 여성 사용자들이 이 부분에 대한 불만이 많은데 요즘같이 젠더 이슈가 많은때에 사회흐름에 맞게 앱도 개선 되어야 할것으로 보입니다.
203,박주미,5개,2023년 11월 14일,"제가 옷을 잘 입을 줄 모르는 데,코디패션이 되어있어서 정말 많은 도움이 됬어용~^^ㅎ"
204,남송현호,5개,2024년 2월 3일,난좋더라 옷도저렴하게구매가능하고
205,Jeong-Woo Kang,1개,2023년 11월 25일,후기 사진을 올릴 때 크롭도 제대로 안 되고 모자이크 기능도 사라지고 더 불편하게 바뀜
206,박정환,5개,2023년 11월 7일,배송빠르고 서비스 좋고 옷도 득템도 하고 너무 조아요 무엇보다 이쁜옷이 넘많아요
207,정승환,5개,2023년 12월 15일,좋은 스토어 입니다 새롭고 저렴하고 다양한 제품과 아이템들이 많은곳 이네요 소통도 잘되네요
208,두라,1개,2024년 3월 22일,아니 계속 서비스 접속이 원할하지 않다고 앱이 안됨 ㅠㅠㅠㅠㅠ
209,김대원,1개,2023년 8월 11일,리프레쉬가 너무 잦아요 폰이 램이 엄청나게 큰 버전은 아니지만 게임도 리프레쉬가 안되는 괜찮은 폰인데 이 앱은 근본적으로 문제가 있음 그리고 리프레쉬가 되면 이전 페이지로 돌아가기라도 해야지 다시 첫페이지로 돌아가는건 뭐임? 개발자가 실사용을 안해봤나? 당신 쇼핑하다가 화장실 갔다왔더니 누가 쇼핑카트 치워두면 기분 좋음? 몇번 쓰다가 빡쳐서 지움
210,TJ P,1개,2023년 7월 11일,"앱, 사이트, 고객 대응 서비스, 품질 모두 구립니다. 그냥 브랜드 공식 쇼핑몰에서 사는게 더 싸고 품질도 좋습니다. 같은 브랜드에서 색상만 다른 제품을 두 벌 구매했습니다. 사이즈 안맞아서 반품 하려니깐 브랜드 사정으로 배송시 개별 배송으로 했던걸 이유삼아 합배송 불가에 배송비를 두 배 내라네요.(같은 배송지, 무게랑 부피 크지도 않음) 상담 전화는 뭐가 그리 바쁜지 안 받는 수준이고. 이것때문에 일주일 동안 장문의 1대1 문의만 6번 정도 걸었습니다. 앱 자체도 뚝뚝 끊기고 최적화 안돼있고 참고하시고 도움 됐으면 좋겠습니다. 아 맞다 그리고 결제시 토스로 결제하면 할인해준다고 일부러 토스 찾아서 했는데 할인이 안돼서 1대1 문의 넣었더니 선착순이라며 마감했다고 할인도 제대로 못받았네요. 선착순이 끝났는데 왜 결제창에 그렇게 광고를 해논건지.. 낚시 당한듯하네요 무신사 할인 크게 한다길래 첫 이용했는데 하자마자 정떨어지는 일이 여러번 생겨서 앱 삭제하고 딴거 쓰려합니다."
211,채준영,3개,2023년 10월 11일,"언제부턴가 쿠폰 낚시가 많아진듯..? 쿠폰 있다해서 들어갔더니 제한상품이라 못 쓴다하고, 못 쓰는 쿠폰은 빨리 없애던지 해주세요 헷갈립니다 그리고 상품 사진 확대하려니 안 되는게 불편합니다. 글씨 있는 칸?? 그건 확대 축소가 가능한데 사진보려고 스크롤 올렸다 내렸다 반복하면서 확대 축소 하기 불편해요 요것도 원래 안 그랬는데 언제부턴가 이러네요.."
212,Google 사용자,1개,2018년 11월 18일,하아~! 이런 개뭐같은 구매시스템이 다있나 MD가 3단으로 돌아가신거같은데 하라는대로 다 했는데 돈은 있는데 결제를 모다네~ 그래서 더러워서 휴대폰 결제로 했다 님들아 저처럼 30분 뻘짓하지마시고 그냥 휴대폰결제로 주민등록번호 몇번입력하시면 뭐 앱 이것저것깔필요없이도 훨씬 더더 간편하게 결제하실수있수무니다 ><
213,갱생,4개,2021년 7월 26일,잘 사용하고 있습니다만 딱 하나만 부탁드리고 싶습니다. [코디] 페이지에서 코디맵에 하트나 즐겨찾기를 눌러 해당 코디를 쉽게 되찾아볼 수 있는 기능을 추가해주셨으면 합니다. 좋은 서비스에 항상 감사드립니다.
214,노현숙,5개,2024년 3월 23일,좋은제품이 많아서 자주 이용해요
215,반디불,1개,2024년 1월 28일,즉시할인 짜증난다... 카드 발급해야...그럼 낚시좀 하지말길...어휴
216,김민옥,5개,2024년 3월 28일,배송도 빠르고 좋아요
217,요나씨,1개,2024년 4월 3일,사이즈 비교시 카테고리에 맞게 보여주세요. ex) 후드티 비교시 후드티만 보이게
218,김현우,5개,2024년 3월 24일,최고의 패션플랫폼
219,forest포레스트런,5개,2024년 2월 19일,애들이 왜 무신사가서 옷사는지 알거같네요. 마음에드는 옷들이 많아요. 배송도빠륵ᆢ
220,박멸치,5개,2020년 5월 31일,"『 aaaa7 』ㅊㅜ천 인입니당 잘 사용하고 있어요. 상품설명이 잘 되어 있고, 결제수단이 여러가지라서 좋아요 그리고 아주 편리합니다. 특히 장바구니에 담은후 품절되는 수도 있는데 물건이 품절되면 다시 재입고되고 알아서 좋습니다. 배송도 만족하구 옷들도 다 만족이에요. 반품같은 것도 후처리 빨라서 좋구요. 신사때문에 좋은 제품들 빠르게 만나서 확실히 편해요. 쿠폰도 잘 주시고요~~ 더 좋은 제품 많이 선보여 주세용. 다른 마켓쇼핑몰에비해 top 이네요^^"
221,하리,5개,2024년 4월 2일,싸고 빠르고 좋아요
222,수졈,1개,2024년 3월 20일,24.03.20 3시 반쯤부터 2시간째 앱 접속이 안 됨 업데이트해도 안 열림ㄹㅈㄷ +) 3시간 지난 지금 삭제 후 재설치해도 안열림 403 forbidden
223,ᄆᄆᄅᄃ,5개,2024년 2월 23일,무신사에서 쿠폰적용해서 엄청 저렴하게 샀습니다. 최고인듯해요
224,Google 사용자,4개,2020년 3월 14일,쇼핑할 때 잘 사용하고 있습니다 그런데 좋아요 눌러 놓은 상품들 정렬창에서 인기순으로도 정렬되게 해줬으면 좋겠습니다 그리고 품절 상품은 투명하게 나온다던지 기존 상품들과 다르게 표시되면 편할 것 같아요!
225,이혜미,5개,2023년 11월 19일,배송도 생각보다 빠르고 앱 사용도 편리하고 좋아요
226,구구구구,1개,2021년 12월 5일,"환불 시스템에 버그가 있는건지, 배송비 발생 안되는 환불이었는데 발생.. 문의 세번만에 환불받음.. 제품 가격대는 높은 편인데 서비스는 그만큼은 아닌거 같아서 그러네요. 그리고 사이즈추천은 왜 한사이즈 작게 하는지 모르겠음. 품절 한번 됬던 옷이라 급하게 사느라 추천하는대로 샀더니, 허리가 작아서 숨을 못쉬겠는거임. 성급하게 구매확정도해서 환불도 안됨.--여기서 옷을 지금까지 30만원어치 좀 넘게 사본거 같은데 100% 만족한 적도 한번도 없음. 대체로 가격에비해 별로임."
227,Google 사용자,1개,2018년 10월 2일,앱 업데이트가 왜 이렇게 된거죠?? 마이페이지가 오른쪽 하단으로 내려간 것도 불만인데 문제는 가독성이 너무 떨어집니다. 전체적으로 겉멋만 번지르르하고 사용자 편의성은 최악입니다. 업데이트 전에 경영진에서 사전검토 안하나요?? 앱 평가 태어나서 처음 남길정도로 최악의 업데이트입니다..다시 뜯어고치시길
228,이에낀게껍질,5개,2023년 11월 27일,피드백 부터 판매까지 잘하시는 것 같아요. 상품도 보기 좋게 잘 나열해두셨구요
229,팍에이스,5개,2024년 2월 25일,이벤트도 너무마음에들고 좋은상품들도많네요
