순위,팀명,경기,승,패,무,승률,최근10경기
1,LG,1,1,0,0,1.000,4승1무1패
1,SSG,1,1,0,0,1.000,3승0무3패
1,NC,1,1,0,0,1.000,3승0무2패
1,KIA,1,1,0,0,1.000,4승0무0패
1,삼성,1,1,0,0,1.000,2승1무3패
6,KT,1,0,1,0,0.000,1승0무5패
6,두산,1,0,1,0,0.000,3승0무3패
6,롯데,1,0,1,0,0.000,1승0무4패
6,한화,1,0,1,0,0.000,5승0무1패
6,키움,1,0,1,0,0.000,0승0무4패
